"","coef","Gene"
"GROUP_1390_CELL WALL SURFACE ANCHOR FAMILY PROTEIN",-0.177419623675182,"GROUP_1390_CELL WALL SURFACE ANCHOR FAMILY PROTEIN"
"GROUP_9927_BLPM",-0.177493973849403,"GROUP_9927_BLPM"
"GROUP_12918_PROPHAGE LP2 PROTEIN 33",-0.177544275176795,"GROUP_12918_PROPHAGE LP2 PROTEIN 33"
"GROUP_3353_MEMBRANE PROTEIN",-0.177848492492897,"GROUP_3353_MEMBRANE PROTEIN"
"GROUP_12029_GP34",-0.177880606893058,"GROUP_12029_GP34"
"PYRP_URACIL PERMEASE",-0.178203002368451,"PYRP_URACIL PERMEASE"
"LDHA_L-LACTATE DEHYDROGENASE 1",-0.178637668967303,"LDHA_L-LACTATE DEHYDROGENASE 1"
"MANZ_4_PTS SYSTEM MANNOSE/FRUCTOSE/N-ACETYLGALACTOSAMINE-SPECIFIC TRANSPORTER SUBUNIT IID",-0.17924700804158,"MANZ_4_PTS SYSTEM MANNOSE/FRUCTOSE/N-ACETYLGALACTOSAMINE-SPECIFIC TRANSPORTER SUBUNIT IID"
"GROUP_3952_MACROLIDE EFFLUX ABC TRANSPORTER MEMBRANE-SPANNING PERMEASE",-0.179460920472312,"GROUP_3952_MACROLIDE EFFLUX ABC TRANSPORTER MEMBRANE-SPANNING PERMEASE"
"HYSA_HYALURONIDASE",-0.17960288880768,"HYSA_HYALURONIDASE"
"GROUP_6545_PHAGE-ASSOCIATED PROTEIN",-0.179624563241354,"GROUP_6545_PHAGE-ASSOCIATED PROTEIN"
"GROUP_6957_SORTASE-LIKE ACYLTRANSFERASE",-0.179789183850605,"GROUP_6957_SORTASE-LIKE ACYLTRANSFERASE"
"GROUP_4899_ENDONUCLEASE/EXONUCLEASE/PHOSPHATASE FAMILY",-0.18009957319667,"GROUP_4899_ENDONUCLEASE/EXONUCLEASE/PHOSPHATASE FAMILY"
"GROUP_13762_TRANSCRIPTIONAL REPRESSOR OF THE GLUTAMINE SYNTHETASE GENE",-0.180550289959864,"GROUP_13762_TRANSCRIPTIONAL REPRESSOR OF THE GLUTAMINE SYNTHETASE GENE"
"GROUP_16076_GLUCOSE-1-PHOSPHATE ADENYLYL TRANSFERASE",-0.180667678871708,"GROUP_16076_GLUCOSE-1-PHOSPHATE ADENYLYL TRANSFERASE"
"GROUP_5977_COMPETENCE PROTEIN CGLD",-0.180747911604076,"GROUP_5977_COMPETENCE PROTEIN CGLD"
"GROUP_9620_MEMBRANE PROTEIN",-0.181032816317139,"GROUP_9620_MEMBRANE PROTEIN"
"GROUP_9698_PROTEIN OF UNKNOWN FUNCTION (DUF3847)",-0.181396116411732,"GROUP_9698_PROTEIN OF UNKNOWN FUNCTION (DUF3847)"
"GROUP_4368_GLYCERATE KINASE",-0.18202819038532,"GROUP_4368_GLYCERATE KINASE"
"YLBL_ATP-DEPENDENT PROTEASE LA",-0.182634484259045,"YLBL_ATP-DEPENDENT PROTEASE LA"
"BSMA_SAM-DEPENDENT METHYLTRANSFERASE",-0.182940411706251,"BSMA_SAM-DEPENDENT METHYLTRANSFERASE"
"TNPR_METHIONYL-TRNA SYNTHETASE",-0.183440197083625,"TNPR_METHIONYL-TRNA SYNTHETASE"
"ARGH_ARGININOSUCCINATE LYASE",-0.18428960942938,"ARGH_ARGININOSUCCINATE LYASE"
"GROUP_12997_IRON ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN",-0.184366036907799,"GROUP_12997_IRON ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN"
"GROUP_11386_ABC TRANSPORTER PERMEASE SUBUNIT",-0.184804478355312,"GROUP_11386_ABC TRANSPORTER PERMEASE SUBUNIT"
"MALG_MALTODEXTRIN ABC TRANSPORTER PERMEASE",-0.185565817986411,"MALG_MALTODEXTRIN ABC TRANSPORTER PERMEASE"
"GROUP_4125_7-CYANO-7-DEAZAGUANINE REDUCTASE",-0.186273424616694,"GROUP_4125_7-CYANO-7-DEAZAGUANINE REDUCTASE"
"GROUP_10953_MUTT/NUDIX FAMILY PROTEIN",-0.186324113238309,"GROUP_10953_MUTT/NUDIX FAMILY PROTEIN"
"MARR_2_MARR FAMILY TRANSCRIPTIONAL REGULATOR",-0.186719628512649,"MARR_2_MARR FAMILY TRANSCRIPTIONAL REGULATOR"
"GROUP_10078_CHROMOSOME SEGREGATION HELICASE ATPASE AAA FAMILY",-0.186849457809785,"GROUP_10078_CHROMOSOME SEGREGATION HELICASE ATPASE AAA FAMILY"
"GROUP_15823_DNA N-4 CYTOSINE METHYLTRANSFERASE",-0.187002067356324,"GROUP_15823_DNA N-4 CYTOSINE METHYLTRANSFERASE"
"CAT_CHLORAMPHENICOL ACETYLTRANSFERASE",-0.187285497767253,"CAT_CHLORAMPHENICOL ACETYLTRANSFERASE"
"GROUP_2479_MEMBRANE PROTEIN",-0.187713702143559,"GROUP_2479_MEMBRANE PROTEIN"
"PITB_PHOSPHATE-TRANSPORT PERMEASE PITB",-0.188613042784215,"PITB_PHOSPHATE-TRANSPORT PERMEASE PITB"
"GROUP_4709_MUTT/NUDIX FAMILY PROTEIN",-0.188613820261469,"GROUP_4709_MUTT/NUDIX FAMILY PROTEIN"
"DGOA_2_2-KETO-3-DEOXY-6-PHOSPHOGLUCONATE ALDOLASE",-0.189306679498905,"DGOA_2_2-KETO-3-DEOXY-6-PHOSPHOGLUCONATE ALDOLASE"
"GROUP_9679_PHAGE PROTEIN",-0.189336983224086,"GROUP_9679_PHAGE PROTEIN"
"GROUP_6699_SUCROSE-6-PHOSPHATE HYDROLASE",-0.189563733456736,"GROUP_6699_SUCROSE-6-PHOSPHATE HYDROLASE"
"ENDA_2_COMPETENCE ASSOCIATED ENDONUCLEASE",-0.189666325693812,"ENDA_2_COMPETENCE ASSOCIATED ENDONUCLEASE"
"GROUP_8337_DPS FAMILY PEROXIDE RESISTANCE PROTEIN",-0.189748303222047,"GROUP_8337_DPS FAMILY PEROXIDE RESISTANCE PROTEIN"
"GROUP_5624_PHAGE PROTEIN",-0.18983953777423,"GROUP_5624_PHAGE PROTEIN"
"GROUP_10931_CHROMOSOME REPLICATION INITIATION PROTEIN/MEMBRANE ATTACHMENT PROTEIN",-0.190877335024144,"GROUP_10931_CHROMOSOME REPLICATION INITIATION PROTEIN/MEMBRANE ATTACHMENT PROTEIN"
"DPND_DPND PROTEIN",-0.191544644710354,"DPND_DPND PROTEIN"
"GROUP_5434_NTP PYROPHOSPHOHYDROLASE INCLUDING OXIDATIVE DAMAGE REPAIR ENZYMES",-0.192080003431255,"GROUP_5434_NTP PYROPHOSPHOHYDROLASE INCLUDING OXIDATIVE DAMAGE REPAIR ENZYMES"
"GROUP_599_PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN B",-0.192574681046793,"GROUP_599_PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN B"
"GROUP_12939_ABORTIVE INFECTION PROTEIN ABIGII",-0.19259622668491,"GROUP_12939_ABORTIVE INFECTION PROTEIN ABIGII"
"GROUP_14483_PUTATIVE REDUCTASE",-0.192634882821256,"GROUP_14483_PUTATIVE REDUCTASE"
"FUCOLECTIN-REL_2_REPAIR PROTEIN",-0.192671352052985,"FUCOLECTIN-REL_2_REPAIR PROTEIN"
"METI_CYSTATHIONINE GAMMA-SYNTHASE",-0.19299963160882,"METI_CYSTATHIONINE GAMMA-SYNTHASE"
"GROUP_460_MOBILE GENETIC ELEMENT",-0.193266732615927,"GROUP_460_MOBILE GENETIC ELEMENT"
"FUCK_L-FUCULOSE KINASE FUCK",-0.193294580011731,"FUCK_L-FUCULOSE KINASE FUCK"
"GROUP_5770_GLYCOSYLTRANSFERASE INVOLVED IN CELL WALL BIOGENESIS",-0.193590089792813,"GROUP_5770_GLYCOSYLTRANSFERASE INVOLVED IN CELL WALL BIOGENESIS"
"SALX_ABC TRANSPORTER ATP-BINDING PROTEIN",-0.194369590712145,"SALX_ABC TRANSPORTER ATP-BINDING PROTEIN"
"APT_ADENINE PHOSPHORIBOSYLTRANSFERASE",-0.195356000589195,"APT_ADENINE PHOSPHORIBOSYLTRANSFERASE"
"EPUA_1_COMPETENCE ASSOCIATED PROTEIN",-0.195499681735177,"EPUA_1_COMPETENCE ASSOCIATED PROTEIN"
"GROUP_6491_PHAGE PROTEIN",-0.19559607747985,"GROUP_6491_PHAGE PROTEIN"
"IPHP_PROTEIN TYROSINE PHOSPHATASE",-0.196585761792837,"IPHP_PROTEIN TYROSINE PHOSPHATASE"
"FTSK_DNA TRANSLOCASE CELL DIVISION PROTEIN",-0.196762717217968,"FTSK_DNA TRANSLOCASE CELL DIVISION PROTEIN"
"GROUP_5547_N-ACETYLGLUCOSAMINYLPHOSPHATIDYLINOSITOL DEACETYLASE SUPERFAMILY",-0.197009846008953,"GROUP_5547_N-ACETYLGLUCOSAMINYLPHOSPHATIDYLINOSITOL DEACETYLASE SUPERFAMILY"
"GROUP_10607_BACTERIOPHAGE TERMINASE",-0.197185034613407,"GROUP_10607_BACTERIOPHAGE TERMINASE"
"GROUP_13477_UTP-GLUCOSE-1-PHOSPHATE URIDYLYLTRANSFERASE",-0.197505778592354,"GROUP_13477_UTP-GLUCOSE-1-PHOSPHATE URIDYLYLTRANSFERASE"
"GROUP_1286_TMP REPEAT FAMILY",-0.197564826226384,"GROUP_1286_TMP REPEAT FAMILY"
"GROUP_6430_TETRACYCLINE RESISTANCE PROTEIN TETM",-0.197800834775749,"GROUP_6430_TETRACYCLINE RESISTANCE PROTEIN TETM"
"GUAA_1_GMP SYNTHASE",-0.198310678973466,"GUAA_1_GMP SYNTHASE"
"GROUP_4348_BRP/BLH FAMILY BETA-CAROTENE 1515'-MONOOXYGENASE",-0.198344233352695,"GROUP_4348_BRP/BLH FAMILY BETA-CAROTENE 1515'-MONOOXYGENASE"
"GROUP_8153_CLASS-V AMINOTRANSFERASE",-0.198990829448463,"GROUP_8153_CLASS-V AMINOTRANSFERASE"
"GROUP_2349_GLYCOSYLTRANSFERASE",-0.199374639811445,"GROUP_2349_GLYCOSYLTRANSFERASE"
"PPC_PHOSPHOENOLPYRUVATE CARBOXYLASE",-0.199618656879792,"PPC_PHOSPHOENOLPYRUVATE CARBOXYLASE"
"GROUP_2023_PROTEIN LACX PLASMID",-0.199935469772653,"GROUP_2023_PROTEIN LACX PLASMID"
"TEE6_CELL WALL SURFACE ANCHOR FAMILY PROTEIN",-0.199969294648992,"TEE6_CELL WALL SURFACE ANCHOR FAMILY PROTEIN"
"GROUP_19618_DNA-BINDING PHAGE PROTEIN",-0.200066120627932,"GROUP_19618_DNA-BINDING PHAGE PROTEIN"
"GROUP_9549_LANTIBIOTIC BIOSYNTHESIS PROTEIN",-0.200529486745072,"GROUP_9549_LANTIBIOTIC BIOSYNTHESIS PROTEIN"
"GROUP_8432_SPEK",-0.200844019458981,"GROUP_8432_SPEK"
"GROUP_16282_ABC TRANSPORTER ATP-BINDING PROTEIN",-0.201329793526853,"GROUP_16282_ABC TRANSPORTER ATP-BINDING PROTEIN"
"SIPA_SIPA PROTEIN",-0.201497313977454,"SIPA_SIPA PROTEIN"
"GROUP_3409_L-LACTATE OXIDASE",-0.201560185583189,"GROUP_3409_L-LACTATE OXIDASE"
"GROUP_6988_ACETYLTRANSFERASE",-0.201667907544387,"GROUP_6988_ACETYLTRANSFERASE"
"PHTA_PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN A PRECURSOR",-0.201736983685061,"PHTA_PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN A PRECURSOR"
"GROUP_14677_MEMBRANE ASSOCIATED PROTEIN",-0.201902609822015,"GROUP_14677_MEMBRANE ASSOCIATED PROTEIN"
"NPLT_NEOPULLULANASE",-0.201954506156943,"NPLT_NEOPULLULANASE"
"GROUP_17462_PHAGE PROTEIN",-0.202119028076385,"GROUP_17462_PHAGE PROTEIN"
"GROUP_12017_BACTERIOPHAGE PI2 PROTEIN 40",-0.203032778424095,"GROUP_12017_BACTERIOPHAGE PI2 PROTEIN 40"
"GROUP_7746_PUTATIVE HALOACID DEHALOGENASE-LIKE HYDROLASE",-0.203736186454287,"GROUP_7746_PUTATIVE HALOACID DEHALOGENASE-LIKE HYDROLASE"
"BLPO_4_PUTATIVE BACTERIOCIN BLPI",-0.204343855139077,"BLPO_4_PUTATIVE BACTERIOCIN BLPI"
"GROUP_9954_ACETYLTRANSFERASE",-0.204967686026262,"GROUP_9954_ACETYLTRANSFERASE"
"GROUP_6124_BACTERIOCIN-ASSOCIATED INTEGRAL MEMBRANE PROTEIN",-0.205161597335777,"GROUP_6124_BACTERIOCIN-ASSOCIATED INTEGRAL MEMBRANE PROTEIN"
"YOEB_PLASMID ENCODED TOXIN TXE SUPERFAMILY",-0.205769026216673,"YOEB_PLASMID ENCODED TOXIN TXE SUPERFAMILY"
"GROUP_2981_PUTATIVE FE-S OXIDOREDUCTASE",-0.205776007747164,"GROUP_2981_PUTATIVE FE-S OXIDOREDUCTASE"
"GROUP_6147_INTEGRAL MEMBRANE PROTEIN",-0.20676673894015,"GROUP_6147_INTEGRAL MEMBRANE PROTEIN"
"CCPA_1_CATABOLITE CONTROL PROTEIN",-0.206845146682784,"CCPA_1_CATABOLITE CONTROL PROTEIN"
"INT_PHAGE INTEGRASE FAMILY INTEGRASE/RECOMBINASE",-0.206993763563114,"INT_PHAGE INTEGRASE FAMILY INTEGRASE/RECOMBINASE"
"GROUP_3936_IRON ABC TRANSPORTER IRON-BINDING PROTEIN",-0.20708202344146,"GROUP_3936_IRON ABC TRANSPORTER IRON-BINDING PROTEIN"
"POTH_BINDING-PROTEIN-DEPENDENT TRANSPORT SYSTEMS INNER MEMBRANE COMPONENT",-0.207114804129153,"POTH_BINDING-PROTEIN-DEPENDENT TRANSPORT SYSTEMS INNER MEMBRANE COMPONENT"
"MANL_PTS SYSTEM MANNOSE-SPECIFIC TRANSPORTER SUBUNIT IIAB",-0.208637201777665,"MANL_PTS SYSTEM MANNOSE-SPECIFIC TRANSPORTER SUBUNIT IIAB"
"GROUP_10344_ZINC METALLOPROTEASE",-0.209081982114859,"GROUP_10344_ZINC METALLOPROTEASE"
"RNY_PUTATIVE HD SUPERFAMILY HYDROLASE",-0.209240280995117,"RNY_PUTATIVE HD SUPERFAMILY HYDROLASE"
"GROUP_7807_DNA POLYMERASE IV",-0.209729076210176,"GROUP_7807_DNA POLYMERASE IV"
"GROUP_7543_CHORISMATE BINDING ENZYME PARA-AMINOBENZOATE SYNTHETASE",-0.209824010977413,"GROUP_7543_CHORISMATE BINDING ENZYME PARA-AMINOBENZOATE SYNTHETASE"
"GROUP_5514_PUTATIVE PEPTIDASE",-0.209896115251185,"GROUP_5514_PUTATIVE PEPTIDASE"
"YCLQ_IRON-COMPOUND ABC TRANSPORTER IRON-COMPOUND-BINDING PROTEIN",-0.210279525787987,"YCLQ_IRON-COMPOUND ABC TRANSPORTER IRON-COMPOUND-BINDING PROTEIN"
"GROUP_8092_CORA-LIKE MG2+ TRANSPORTER PROTEIN",-0.210328579815378,"GROUP_8092_CORA-LIKE MG2+ TRANSPORTER PROTEIN"
"GROUP_13439_MAJOR FACILITATOR SUPERFAMILY TRANSPORTER-EFFLUX",-0.211077772149423,"GROUP_13439_MAJOR FACILITATOR SUPERFAMILY TRANSPORTER-EFFLUX"
"GROUP_4111_MCCC FAMILY PROTEIN",-0.211495326126731,"GROUP_4111_MCCC FAMILY PROTEIN"
"GROUP_12806_METHIONYL-TRNA SYNTHETASE",-0.212141256894666,"GROUP_12806_METHIONYL-TRNA SYNTHETASE"
"YPDA_SENSOR HISTIDINE KINASE",-0.212434103280261,"YPDA_SENSOR HISTIDINE KINASE"
"YDFG_3-OXOACYL-ACP REDUCTASE",-0.21252838037076,"YDFG_3-OXOACYL-ACP REDUCTASE"
"TCYJ_AMINO ACID ABC TRANSPORTER AMINO ACID-BINDING PROTEIN",-0.212783513024829,"TCYJ_AMINO ACID ABC TRANSPORTER AMINO ACID-BINDING PROTEIN"
"GROUP_8123_ACYL CARRIER PROTEIN",-0.212953990074982,"GROUP_8123_ACYL CARRIER PROTEIN"
"GROUP_4554_INTEGRAL MEMBRANE PROTEIN",-0.213684008979424,"GROUP_4554_INTEGRAL MEMBRANE PROTEIN"
"GROUP_4825_BACTERIOCIN IMMUNITY PROTEIN",-0.213909016909175,"GROUP_4825_BACTERIOCIN IMMUNITY PROTEIN"
"RAFF_SUGAR ABC TRANSPORTER BINDING PROTEIN",-0.214162859822429,"RAFF_SUGAR ABC TRANSPORTER BINDING PROTEIN"
"GROUP_7701_OXIDOREDUCTASE DADA FAMILY PROTEIN",-0.214454255112638,"GROUP_7701_OXIDOREDUCTASE DADA FAMILY PROTEIN"
"GROUP_1534_TN5253 CAAX AMINO TERMINAL PROTEASE FAMILY",-0.214592962241903,"GROUP_1534_TN5253 CAAX AMINO TERMINAL PROTEASE FAMILY"
"GROUP_7553_GNAT FAMILY ACETYLTRANSFERASE",-0.214715421483072,"GROUP_7553_GNAT FAMILY ACETYLTRANSFERASE"
"GROUP_2968_SITE-SPECIFIC DNA RECOMBINASE",-0.214966336287395,"GROUP_2968_SITE-SPECIFIC DNA RECOMBINASE"
"GROUP_10961_LIPOPROTEIN",-0.215132064560876,"GROUP_10961_LIPOPROTEIN"
"DOC_DEATH ON CURING PROTEIN",-0.215156182216559,"DOC_DEATH ON CURING PROTEIN"
"RGGD_1_TRANSCRIPTIONAL REGULATOR",-0.215211078239215,"RGGD_1_TRANSCRIPTIONAL REGULATOR"
"GROUP_6267_ACETYLTRANSFERASE",-0.215418266168675,"GROUP_6267_ACETYLTRANSFERASE"
"GROUP_1836_MARR FAMILY TRANSCRIPTIONAL REGULATOR",-0.215427384514305,"GROUP_1836_MARR FAMILY TRANSCRIPTIONAL REGULATOR"
"GROUP_9597_VANZ FAMILY PROTEIN",-0.215961888722342,"GROUP_9597_VANZ FAMILY PROTEIN"
"GROUP_13697_PHAGE INTEGRASE FAMILY INTEGRASE/RECOMBINASE",-0.21661288132844,"GROUP_13697_PHAGE INTEGRASE FAMILY INTEGRASE/RECOMBINASE"
"CLPC_1_GROUP II INTRON MATURASE",-0.216658537395392,"CLPC_1_GROUP II INTRON MATURASE"
"BLPL_IMMUNITY PROTEIN BLPL",-0.217598722351919,"BLPL_IMMUNITY PROTEIN BLPL"
"ACOA_ACETOIN:26-DICHLOROPHENOLINDOPHENOL OXIDOREDUCTASE SUBUNIT ALPHA",-0.217873992136115,"ACOA_ACETOIN:26-DICHLOROPHENOLINDOPHENOL OXIDOREDUCTASE SUBUNIT ALPHA"
"GROUP_12643_GLUTAMATE-AMMONIA LIGASE",-0.218014302469959,"GROUP_12643_GLUTAMATE-AMMONIA LIGASE"
"GROUP_15539_GENERAL STRESS PROTEIN 24",-0.218225142228026,"GROUP_15539_GENERAL STRESS PROTEIN 24"
"GROUP_5080_ALPHA/BETA FOLD FAMILY HYDROLASE",-0.218491698598969,"GROUP_5080_ALPHA/BETA FOLD FAMILY HYDROLASE"
"TOXA_CHOLINE-BINDING PROTEIN F POINT MUTATION",-0.219250076623576,"TOXA_CHOLINE-BINDING PROTEIN F POINT MUTATION"
"GROUP_5159_PTS SYSTEM GALACTITOL-SPECIFIC FAMILY TRANSPORTER SUBUNIT IIC",-0.219295682878674,"GROUP_5159_PTS SYSTEM GALACTITOL-SPECIFIC FAMILY TRANSPORTER SUBUNIT IIC"
"GROUP_4101_ABC TRANSPORTER MEMBRANE-SPANNING PROTEIN",-0.219330231958061,"GROUP_4101_ABC TRANSPORTER MEMBRANE-SPANNING PROTEIN"
"GROUP_10532_TN5252 ORF 9 PROTEIN",-0.220899019142512,"GROUP_10532_TN5252 ORF 9 PROTEIN"
"KTRB_TRK TRANSPORTER MEMBRANE-SPANNING PROTEIN - K+ TRANSPORT",-0.221306790266427,"KTRB_TRK TRANSPORTER MEMBRANE-SPANNING PROTEIN - K+ TRANSPORT"
"GROUP_6258_LIPOPROTEIN PUTATIVE",-0.221666954388723,"GROUP_6258_LIPOPROTEIN PUTATIVE"
"GROUP_1619_PHAGE PROTEIN",-0.22179501923041,"GROUP_1619_PHAGE PROTEIN"
"GROUP_2641_PTS SYSTEM GALACTOSE-SPECIFIC TRANSPORTER SUBUNIT IIB",-0.222164122654549,"GROUP_2641_PTS SYSTEM GALACTOSE-SPECIFIC TRANSPORTER SUBUNIT IIB"
"GROUP_5937_POLAR AMINO ACID ABC UPTAKE TRANSPORTER SUBSTRATE BINDING PROTEIN",-0.222501988635593,"GROUP_5937_POLAR AMINO ACID ABC UPTAKE TRANSPORTER SUBSTRATE BINDING PROTEIN"
"GROUP_1977_U32 FAMILY PEPTIDASE",-0.224150842223203,"GROUP_1977_U32 FAMILY PEPTIDASE"
"GROUP_17375_COPPER-SENSING TRANSCRIPTIONAL REPRESSOR CSOR",-0.22415828887517,"GROUP_17375_COPPER-SENSING TRANSCRIPTIONAL REPRESSOR CSOR"
"NANA_1_SIALIDASE A (NEURAMINIDASE A)",-0.224473888500063,"NANA_1_SIALIDASE A (NEURAMINIDASE A)"
"ASPS_ASPARTYL-TRNA SYNTHETASE (ASPARTATE-TRNA LIGASE)",-0.224502470353669,"ASPS_ASPARTYL-TRNA SYNTHETASE (ASPARTATE-TRNA LIGASE)"
"GROUP_15288_IMMUNITY PROTEIN",-0.225025524714041,"GROUP_15288_IMMUNITY PROTEIN"
"PATB_MALY BIFUNCTIONAL PLP-DEPENDENT ENZYME",-0.225034555374601,"PATB_MALY BIFUNCTIONAL PLP-DEPENDENT ENZYME"
"GROUP_9923_ACETYLTRANSFERASE",-0.226471521032743,"GROUP_9923_ACETYLTRANSFERASE"
"GROUP_11159_DNA REPAIR PROTEIN",-0.226820618338918,"GROUP_11159_DNA REPAIR PROTEIN"
"GROUP_1285_TMP REPEAT FAMILY",-0.227058852879079,"GROUP_1285_TMP REPEAT FAMILY"
"LACG1_6-PHOSPHO-BETA-GALACTOSIDASE",-0.227502604595467,"LACG1_6-PHOSPHO-BETA-GALACTOSIDASE"
"AMIF_OLIGOPEPTIDE ABC TRANSPORTER ATP-BINDING PROTEIN AMIF",-0.227554712366926,"AMIF_OLIGOPEPTIDE ABC TRANSPORTER ATP-BINDING PROTEIN AMIF"
"GROUP_4502_25-DIKETO-D-GLUCONIC ACID REDUCTASE A",-0.227594673326053,"GROUP_4502_25-DIKETO-D-GLUCONIC ACID REDUCTASE A"
"GROUP_3352_MEMBRANE PROTEIN",-0.228192915431079,"GROUP_3352_MEMBRANE PROTEIN"
"PTSG_2_PTS GLUCOSE-SPECIFIC ENZYME IIABC COMPONENT",-0.228374573921804,"PTSG_2_PTS GLUCOSE-SPECIFIC ENZYME IIABC COMPONENT"
"GROUP_9491_LIPOPROTEIN",-0.228974751469128,"GROUP_9491_LIPOPROTEIN"
"LEUB_3-ISOPROPYLMALATE DEHYDROGENASE",-0.229066363879307,"LEUB_3-ISOPROPYLMALATE DEHYDROGENASE"
"GROUP_4612_MEMBRANE PROTEIN",-0.229252704609322,"GROUP_4612_MEMBRANE PROTEIN"
"GROUP_12459_INTEGRAL MEMBRANE PROTEIN",-0.229598108998017,"GROUP_12459_INTEGRAL MEMBRANE PROTEIN"
"GROUP_7477_GP18",-0.229704925767833,"GROUP_7477_GP18"
"LYTC_14-BETA-N-ACETYLMURAMIDASE",-0.230175954277365,"LYTC_14-BETA-N-ACETYLMURAMIDASE"
"GROUP_8045_SAP DOMAIN-CONTAINING PROTEIN",-0.230316771578706,"GROUP_8045_SAP DOMAIN-CONTAINING PROTEIN"
"GLCA_BETA GLUCANASE",-0.230673413718116,"GLCA_BETA GLUCANASE"
"ABC-NBD-TRUNCATION_ABC TRANSPORTER PERMEAE",-0.230964379364619,"ABC-NBD-TRUNCATION_ABC TRANSPORTER PERMEAE"
"GROUP_7635_SURFACE PROTEIN (FRAGMENT)",-0.231394156793985,"GROUP_7635_SURFACE PROTEIN (FRAGMENT)"
"PGMA_PHOSPHOGLUCOMUTASE",-0.231583293192969,"PGMA_PHOSPHOGLUCOMUTASE"
"FLR_CONSERVED PROTEIN/DOMAIN TYPICALLY ASSOCIATED WITH FLAVOPROTEIN OXYGENASE DIM6/NTAB FAMILY",-0.231702825800837,"FLR_CONSERVED PROTEIN/DOMAIN TYPICALLY ASSOCIATED WITH FLAVOPROTEIN OXYGENASE DIM6/NTAB FAMILY"
"GROUP_8885_PHAGE PROTEIN",-0.2321668192125,"GROUP_8885_PHAGE PROTEIN"
"LMRA_ABC TRANSPORTER ATP-BINDING PROTEIN",-0.232547732741501,"LMRA_ABC TRANSPORTER ATP-BINDING PROTEIN"
"RPIA_RIBOSE-5-PHOSPHATE ISOMERASE A",-0.232558759189997,"RPIA_RIBOSE-5-PHOSPHATE ISOMERASE A"
"GROUP_14799_MALTOSE OPERON TRANSCRIPTIONAL REPRESSOR",-0.233204525896549,"GROUP_14799_MALTOSE OPERON TRANSCRIPTIONAL REPRESSOR"
"GROUP_12442_PUTATIVE PRIMASE HOMOLOG",-0.233744591500689,"GROUP_12442_PUTATIVE PRIMASE HOMOLOG"
"GROUP_5269_ALPHA-GALACTOSIDASE",-0.23374674164799,"GROUP_5269_ALPHA-GALACTOSIDASE"
"GROUP_10908_DNA LIGASE",-0.233754701921306,"GROUP_10908_DNA LIGASE"
"AMIC_PEPTIDE ABC TRANSPORTER PERMEASE",-0.233806311776596,"AMIC_PEPTIDE ABC TRANSPORTER PERMEASE"
"GROUP_13527_GLUTATHIONE REDUCTASE",-0.234001634999773,"GROUP_13527_GLUTATHIONE REDUCTASE"
"MACB_2_ABC TRANSPORTER PERMEAE",-0.236078050432139,"MACB_2_ABC TRANSPORTER PERMEAE"
"GROUP_7424_RESPONSE REGULATOR",-0.236197851457711,"GROUP_7424_RESPONSE REGULATOR"
"LEUA_1_2-ISOPROPYLMALATE SYNTHASE",-0.236422187706621,"LEUA_1_2-ISOPROPYLMALATE SYNTHASE"
"PEZA_TRANSCRIPTIONAL REGULATOR",-0.236666327610439,"PEZA_TRANSCRIPTIONAL REGULATOR"
"PRTP_SERINE PROTEASE",-0.236828221278474,"PRTP_SERINE PROTEASE"
"GROUP_13645_ABC TRANSPORTER PERMEASE",-0.237249350873297,"GROUP_13645_ABC TRANSPORTER PERMEASE"
"GROUP_12511_ABC TRANSPORTER ATP-BINDING PROTEIN",-0.237359368419995,"GROUP_12511_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_8980_ABC TRANSPORTER ATP-BINDING PROTEIN",-0.237706454500679,"GROUP_8980_ABC TRANSPORTER ATP-BINDING PROTEIN"
"NFRA2_NITROREDUCTASE NADPH-FLAVIN OXIDOREDUCTASE",-0.237850942480899,"NFRA2_NITROREDUCTASE NADPH-FLAVIN OXIDOREDUCTASE"
"GROUP_13642_ABC TRANSPORTER PERMEASE",-0.238618428101449,"GROUP_13642_ABC TRANSPORTER PERMEASE"
"TABA_1_BETA-GALACTOSIDASE SUBUNIT BETA",-0.238660526162391,"TABA_1_BETA-GALACTOSIDASE SUBUNIT BETA"
"GROUP_12171_THIW SUPERFAMILY PROTEIN",-0.240189389774151,"GROUP_12171_THIW SUPERFAMILY PROTEIN"
"GROUP_11534_GNTR FAMILY TRANSCRIPTIONAL REGULATOR",-0.240515722989494,"GROUP_11534_GNTR FAMILY TRANSCRIPTIONAL REGULATOR"
"GROUP_9015_PUTATIVE BACTERIOCIN",-0.241112604245296,"GROUP_9015_PUTATIVE BACTERIOCIN"
"GROUP_3995_TRANSCRIPTIONAL REGULATOR",-0.241349661314911,"GROUP_3995_TRANSCRIPTIONAL REGULATOR"
"GROUP_6106_MAJOR FACILITATOR SUPERFAMILY PERMEASE",-0.241770655404758,"GROUP_6106_MAJOR FACILITATOR SUPERFAMILY PERMEASE"
